CUPS;Fecha;Hora;Consumo_KWh;Metodo_obtencion
ESXXXXXXXXXXXXXXXXXXXX;15/02/2023;1;0,081;R
ESXXXXXXXXXXXXXXXXXXXX;15/02/2023;2;0,039;R
ESXXXXXXXXXXXXXXXXXXXX;15/02/2023;3;0,049;R
ESXXXXXXXXXXXXXXXXXXXX;15/02/2023;4;0,038;R
ESXXXXXXXXXXXXXXXXXXXX;15/02/2023;5;0,035;R
ESXXXXXXXXXXXXXXXXXXXX;15/02/2023;6;0,053;R
ESXXXXXXXXXXXXXXXXXXXX;15/02/2023;7;0,039;R
ESXXXXXXXXXXXXXXXXXXXX;15/02/2023;8;0,095;R
ESXXXXXXXXXXXXXXXXXXXX;15/02/2023;9;0,123;R
ESXXXXXXXXXXXXXXXXXXXX;15/02/2023;10;0,117;R
ESXXXXXXXXXXXXXXXXXXXX;15/02/2023;11;0,149;R
ESXXXXXXXXXXXXXXXXXXXX;15/02/2023;12;0,122;R
ESXXXXXXXXXXXXXXXXXXXX;15/02/2023;13;0,110;R
ESXXXXXXXXXXXXXXXXXXXX;15/02/2023;14;0,520;R
ESXXXXXXXXXXXXXXXXXXXX;15/02/2023;15;0,112;R
ESXXXXXXXXXXXXXXXXXXXX;15/02/2023;16;0,131;R
ESXXXXXXXXXXXXXXXXXXXX;15/02/2023;17;0,105;R
ESXXXXXXXXXXXXXXXXXXXX;15/02/2023;18;0,080;R
ESXXXXXXXXXXXXXXXXXXXX;15/02/2023;19;0,040;R
ESXXXXXXXXXXXXXXXXXXXX;15/02/2023;20;0,083;R
ESXXXXXXXXXXXXXXXXXXXX;15/02/2023;21;0,135;R
ESXXXXXXXXXXXXXXXXXXXX;15/02/2023;22;0,320;R
ESXXXXXXXXXXXXXXXXXXXX;15/02/2023;23;0,102;R
ESXXXXXXXXXXXXXXXXXXXX;15/02/2023;24;0,098;R